region,region_key,flood_events_total,flood_events_total_2012_2025,flood_events_mean_annual,flood_events_recent_5y,flood_events_max_yearly,flood_events_trend_slope,years_observed,latest_year,historical_flood_exposure_score,historical_flood_exposure_level,external_data_coverage,source_dataset,source_url,source_file_used,methodological_role
Garut,GARUT,141,141,10.071428571428571,55,21,0.3186813186813271,14,2025,0.3949554339103519,Medium,multi-year,Open Data Jabar - jumlah kejadian bencana banjir berdasarkan kabupaten/kota,https://opendata.jabarprov.go.id/id/dataset/jumlah-kejadian-bencana-banjir-berdasarkan-kabupatenkota-di-jawa-barat,jabar_flood_events_by_kabupaten_kota.csv,regional exposure bridge only; not used to train primary FloodProbability model
Indramayu,INDRAMAYU,62,62,4.428571428571429,29,10,0.11868131868130696,14,2025,0.05593531468531468,Low,multi-year,Open Data Jabar - jumlah kejadian bencana banjir berdasarkan kabupaten/kota,https://opendata.jabarprov.go.id/id/dataset/jumlah-kejadian-bencana-banjir-berdasarkan-kabupatenkota-di-jawa-barat,jabar_flood_events_by_kabupaten_kota.csv,regional exposure bridge only; not used to train primary FloodProbability model
Karawang,KARAWANG,225,225,16.071428571428573,118,71,0.7670329670329822,14,2025,1.0,High,multi-year,Open Data Jabar - jumlah kejadian bencana banjir berdasarkan kabupaten/kota,https://opendata.jabarprov.go.id/id/dataset/jumlah-kejadian-bencana-banjir-berdasarkan-kabupatenkota-di-jawa-barat,jabar_flood_events_by_kabupaten_kota.csv,regional exposure bridge only; not used to train primary FloodProbability model
Subang,SUBANG,113,113,8.071428571428571,51,39,-0.07692307692305872,14,2025,0.36414665252780004,Medium,multi-year,Open Data Jabar - jumlah kejadian bencana banjir berdasarkan kabupaten/kota,https://opendata.jabarprov.go.id/id/dataset/jumlah-kejadian-bencana-banjir-berdasarkan-kabupatenkota-di-jawa-barat,jabar_flood_events_by_kabupaten_kota.csv,regional exposure bridge only; not used to train primary FloodProbability model
Tasikmalaya,TASIKMALAYA,60,60,4.285714285714286,14,12,-0.21978021978020246,14,2025,0.006557377049180329,Low,multi-year,Open Data Jabar - jumlah kejadian bencana banjir berdasarkan kabupaten/kota,https://opendata.jabarprov.go.id/id/dataset/jumlah-kejadian-bencana-banjir-berdasarkan-kabupatenkota-di-jawa-barat,jabar_flood_events_by_kabupaten_kota.csv,regional exposure bridge only; not used to train primary FloodProbability model
