actor,region,region_key,dmu,predicted_vulnerability_label,historical_flood_exposure_score,historical_flood_exposure_level,external_data_coverage,base_cost,base_revenue,base_margin,base_cost_revenue_ratio,cost_shock_tolerance,revenue_drop_tolerance,combined_break_even_buffer,break_even_resilience_label
Farmer,Garut,GARUT,1,Low Vulnerability,0.3949554339103519,Medium,multi-year,11418000.0,16200000.0,4782000.0,0.7048148148148148,0.418812401471361,0.29518518518518516,0.29518518518518516,Moderate Buffer
Farmer,Garut,GARUT,2,High Vulnerability,0.3949554339103519,Medium,multi-year,8264000.0,8100000.0,-164000.0,1.020246913580247,-0.01984511132623427,-0.020246913580246915,-0.020246913580246915,Already Failed
Farmer,Garut,GARUT,3,Low Vulnerability,0.3949554339103519,Medium,multi-year,6450000.0,14850000.0,8400000.0,0.43434343434343436,1.302325581395349,0.5656565656565656,0.5656565656565656,Resilient
Farmer,Garut,GARUT,4,Low Vulnerability,0.3949554339103519,Medium,multi-year,4570000.0,13050000.0,8480000.0,0.35019157088122604,1.8555798687089715,0.6498084291187739,0.6498084291187739,Resilient
Farmer,Garut,GARUT,5,Low Vulnerability,0.3949554339103519,Medium,multi-year,3778000.0,10200000.0,6422000.0,0.3703921568627451,1.6998411858125992,0.6296078431372549,0.6296078431372549,Resilient
Farmer,Garut,GARUT,6,High Vulnerability,0.3949554339103519,Medium,multi-year,3628000.0,3600000.0,-28000.0,1.0077777777777779,-0.007717750826901874,-0.0077777777777777776,-0.0077777777777777776,Already Failed
Farmer,Garut,GARUT,7,Low Vulnerability,0.3949554339103519,Medium,multi-year,3100000.0,8100000.0,5000000.0,0.38271604938271603,1.6129032258064515,0.6172839506172839,0.6172839506172839,Resilient
Farmer,Garut,GARUT,8,Low Vulnerability,0.3949554339103519,Medium,multi-year,3994000.0,7850000.0,3856000.0,0.5087898089171975,0.9654481722583875,0.49121019108280256,0.49121019108280256,Resilient
Farmer,Garut,GARUT,9,Low Vulnerability,0.3949554339103519,Medium,multi-year,13690000.0,29700000.0,16010000.0,0.46094276094276093,1.1694667640613587,0.539057239057239,0.539057239057239,Resilient
Farmer,Garut,GARUT,10,Low Vulnerability,0.3949554339103519,Medium,multi-year,11588000.0,36450000.0,24862000.0,0.3179149519890261,2.145495340006904,0.6820850480109739,0.6820850480109739,Resilient
Farmer,Garut,GARUT,11,Low Vulnerability,0.3949554339103519,Medium,multi-year,5130000.0,13050000.0,7920000.0,0.3931034482758621,1.543859649122807,0.6068965517241379,0.6068965517241379,Resilient
Farmer,Garut,GARUT,12,Low Vulnerability,0.3949554339103519,Medium,multi-year,8420000.0,28200000.0,19780000.0,0.29858156028368793,2.34916864608076,0.701418439716312,0.701418439716312,Resilient
Farmer,Garut,GARUT,13,Low Vulnerability,0.3949554339103519,Medium,multi-year,4434000.0,9400000.0,4966000.0,0.4717021276595745,1.119981957600361,0.5282978723404256,0.5282978723404256,Resilient
Farmer,Garut,GARUT,14,Low Vulnerability,0.3949554339103519,Medium,multi-year,1455400.0,2100000.0,644600.0,0.693047619047619,0.4429022949017452,0.306952380952381,0.306952380952381,Resilient
Farmer,Garut,GARUT,15,Low Vulnerability,0.3949554339103519,Medium,multi-year,7480000.0,19800000.0,12320000.0,0.37777777777777777,1.6470588235294117,0.6222222222222222,0.6222222222222222,Resilient
Farmer,Garut,GARUT,16,High Vulnerability,0.3949554339103519,Medium,multi-year,6822000.0,6750000.0,-72000.0,1.0106666666666666,-0.010554089709762533,-0.010666666666666666,-0.010666666666666666,Already Failed
Farmer,Garut,GARUT,17,Low Vulnerability,0.3949554339103519,Medium,multi-year,3477000.0,9300000.0,5823000.0,0.3738709677419355,1.6747195858498707,0.6261290322580645,0.6261290322580645,Resilient
Farmer,Garut,GARUT,18,Low Vulnerability,0.3949554339103519,Medium,multi-year,10710000.0,25650000.0,14940000.0,0.41754385964912283,1.3949579831932772,0.5824561403508772,0.5824561403508772,Resilient
Farmer,Garut,GARUT,19,High Vulnerability,0.3949554339103519,Medium,multi-year,8194000.0,6750000.0,-1444000.0,1.2139259259259259,-0.17622650720039054,-0.21392592592592594,-0.21392592592592594,Already Failed
Farmer,Garut,GARUT,20,Low Vulnerability,0.3949554339103519,Medium,multi-year,9114000.0,13500000.0,4386000.0,0.6751111111111111,0.48123765635286375,0.3248888888888889,0.3248888888888889,Resilient
Farmer,Garut,GARUT,21,High Vulnerability,0.3949554339103519,Medium,multi-year,6600000.0,5400000.0,-1200000.0,1.2222222222222223,-0.18181818181818182,-0.2222222222222222,-0.2222222222222222,Already Failed
Farmer,Garut,GARUT,22,High Vulnerability,0.3949554339103519,Medium,multi-year,8194000.0,6750000.0,-1444000.0,1.2139259259259259,-0.17622650720039054,-0.21392592592592594,-0.21392592592592594,Already Failed
