actor,Karawang,Garut,Subang,Indramayu,Tasikmalaya
Retail,1.0,1.0,1.0,1.0,1.0
Middlemen,1.0,1.0,0.908952380952381,0.948125,1.0
Rice Miller,1.0,0.9485,0.9411904761904762,0.9638823529411764,0.9974137931034484
Wholesaler,0.8650714285714286,0.92324,0.4524285714285714,0.7519375,
Farmer,0.2469811320754717,0.3577448979591836,0.2856233766233766,0.3433225806451613,0.19734545454545452
