flood_scenario,region,region_key,actor,n_units,mean_failure_probability,median_failure_probability,p75_failure_probability,expected_stressed_margin,p05_stressed_margin,p50_stressed_margin,p95_stressed_margin,expected_stressed_cost_revenue_ratio,historical_flood_exposure_score,dominant_monte_carlo_risk_label,dominant_predicted_vulnerability_label,monte_carlo_priority_signal
High,Garut,GARUT,Middlemen,24,1.0,1.0,1.0,-30925178.643675823,-35163550.59760175,-30915502.86014334,-26545490.079738736,2.138530611892434,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
High,Garut,GARUT,Retail,23,1.0,1.0,1.0,-4856772.1690712245,-5474134.075974942,-4860815.888716901,-4216976.865392903,2.7448279504013504,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
High,Indramayu,INDRAMAYU,Retail,16,1.0,1.0,1.0,-5179639.295120254,-5808760.607530827,-5183115.744305276,-4557225.245960362,3.2835969651932775,0.0559353146853146,Critical Failure Probability,High Vulnerability,Severe
High,Karawang,KARAWANG,Middlemen,14,1.0,1.0,1.0,-35576451.9939938,-44200078.038524956,-35668031.14802054,-26739764.039497726,1.6490746590696181,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Karawang,KARAWANG,Retail,16,1.0,1.0,1.0,-5533015.454825597,-6223353.366606272,-5525838.886681062,-4855378.402467778,3.267070747676758,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Karawang,KARAWANG,Rice Miller,14,1.0,1.0,1.0,-53826705.50292191,-66964713.355727255,-53908770.838900685,-40520013.38504602,1.7216599464551194,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Subang,SUBANG,Retail,19,1.0,1.0,1.0,-4607767.054724724,-5106761.427618539,-4617448.755770512,-4099390.6761672464,2.726604080666943,0.3641466525278,Critical Failure Probability,High Vulnerability,Severe
High,Tasikmalaya,TASIKMALAYA,Middlemen,29,1.0,1.0,1.0,-26826883.661821365,-31120595.124023277,-26820176.389921784,-21171989.72315715,2.0129024381913667,0.0065573770491803,Critical Failure Probability,High Vulnerability,Severe
High,Tasikmalaya,TASIKMALAYA,Retail,28,1.0,1.0,1.0,-5352940.218134865,-5993364.294668945,-5351911.716119054,-4704021.109828042,3.132097571132886,0.0065573770491803,Critical Failure Probability,High Vulnerability,Severe
High,Tasikmalaya,TASIKMALAYA,Rice Miller,29,0.9974137931034484,1.0,1.0,-14959442.29118314,-19100708.19768981,-14982536.357472513,-9619773.220148921,1.4398921088760044,0.0065573770491803,Critical Failure Probability,Medium Vulnerability,Severe
High,Indramayu,INDRAMAYU,Rice Miller,17,0.9638823529411764,1.0,1.0,-113914700.66801997,-185659731.11207625,-113305701.05123886,-69513712.09302834,1.3839665063968865,0.0559353146853146,Critical Failure Probability,Low Vulnerability,Severe
High,Garut,GARUT,Rice Miller,24,0.9485,1.0,1.0,-14572285.060062062,-18856636.289230347,-14508678.076867253,-5751755.974386347,1.3162723249362904,0.3949554339103519,Critical Failure Probability,Low Vulnerability,Severe
High,Indramayu,INDRAMAYU,Middlemen,16,0.948125,1.0,1.0,-51823980.28155738,-62671658.242515035,-51763351.52695289,-40899352.87715681,1.6868693107471606,0.0559353146853146,Critical Failure Probability,High Vulnerability,Severe
High,Subang,SUBANG,Rice Miller,21,0.9411904761904762,0.998,1.0,-38485081.383295365,-74608941.63208269,-38412011.86379572,-19573039.592040557,1.1855917349892298,0.3641466525278,Critical Failure Probability,Low Vulnerability,Severe
High,Garut,GARUT,Wholesaler,25,0.92324,1.0,1.0,-43999887.20168806,-56023697.868964665,-43968769.94441567,-32750431.061445102,1.7006913206789718,0.3949554339103519,Critical Failure Probability,High Vulnerability,Severe
High,Subang,SUBANG,Middlemen,21,0.908952380952381,1.0,1.0,-45556829.85088564,-57897551.10068405,-45142312.78303177,-31652374.268271655,1.4489304436334964,0.3641466525278,Critical Failure Probability,High Vulnerability,Severe
High,Karawang,KARAWANG,Wholesaler,14,0.8650714285714286,1.0,1.0,-102186539.57764375,-128767047.87711293,-102260252.39056207,-76177471.63490185,1.646024554867052,1.0,Critical Failure Probability,High Vulnerability,Severe
High,Indramayu,INDRAMAYU,Wholesaler,16,0.7519375,1.0,1.0,-63117542.034370944,-82444967.1285918,-63222872.89632652,-43288748.745129794,1.2861430648377765,0.0559353146853146,Critical Failure Probability,Low Vulnerability,Severe
High,Subang,SUBANG,Wholesaler,21,0.4524285714285714,0.384,0.968,9008979.374430466,-13911169.884851972,8802387.473094225,22264759.437907074,0.9820654952630613,0.3641466525278,Low Failure Probability,Low Vulnerability,Elevated
High,Garut,GARUT,Farmer,98,0.3577448979591836,0.0,1.0,3340710.723443353,2635070.3303327546,3330691.8600494484,3965064.898426764,0.6576636136603763,0.3949554339103519,Low Failure Probability,Low Vulnerability,Elevated
