actor,Karawang,Garut,Subang,Indramayu,Tasikmalaya
Retail,1.0,1.0,1.0,1.0,1.0
Middlemen,1.0,1.0,0.9083333333333333,0.9496875,1.0
Rice Miller,1.0,0.9503125,0.9375,0.9660294117647058,0.9982758620689655
Wholesaler,0.8646428571428572,0.9237000000000001,0.4508333333333333,0.75375,
Farmer,0.24726415094339624,0.35744897959183675,0.2850649350649351,0.3437096774193548,0.1960909090909091
