region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,base_priority_sort_score,historical_flood_exposure_score,regional_exposure_priority_modifier,priority_sort_score,priority_reason,recommended_action
Karawang,Rice Miller,Medium,0.4999999437061118,High Vulnerability,0.7142857142857143,1.0,0.0,Already Failed,-5688835.470085483,1.0644027757500236,-19670224.47649573,1.2400292337487775,Critical,5,0.8833333333333333,1.0,1.1,0.9716666666666667,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.06; HistFloodExp=1.00,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Indramayu,Middlemen,High,0.5499976285304322,High Vulnerability,0.5625,0.8125,0.1875,Already Failed,-6617415.258776158,1.0874807510466988,-37761290.8675926,1.4155498337014292,Critical,5,0.9625,0.0559353146853146,1.0055935314685314,0.9678837740384615,Flood=High; Vulnerability=High Vulnerability; FailShare=81%; Median C/R=1.09; HistFloodExp=0.06,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Karawang,Middlemen,High,0.5499976285304322,Medium Vulnerability,0.5,1.0,0.0,Critical Under High Stress,-1525000.0,1.017790404040404,-23021750.0,1.3536612373737371,Critical,5,0.8499999999999999,1.0,1.1,0.9349999999999999,Flood=High; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02; HistFloodExp=1.00,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Karawang,Wholesaler,Medium,0.4999999437061118,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-34339750.0,1.1860030283505156,Critical,5,0.8404761904761905,1.0,1.1,0.9245238095238096,Flood=Medium; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare buffer stock and route contingency for bulk distribution.
Garut,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-15440508.962716289,1.5694842001138896,Critical,5,0.8833333333333333,0.3949554339103519,1.0394955433910351,0.9182210633287476,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Garut,Retail,Medium,0.4999999437061118,High Vulnerability,0.9130434782608696,1.0,0.0,Already Failed,-2600000.0,1.7428571428571429,-3551138.4222027976,2.014610977772228,Critical,5,0.8833333333333333,0.3949554339103519,1.0394955433910351,0.9182210633287476,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74; HistFloodExp=0.39,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Subang,Retail,Medium,0.4999999437061118,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-3355042.0988335423,2.002801146299056,Critical,5,0.8833333333333333,0.3641466525278,1.03641466525278,0.9154996209732889,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Garut,Wholesaler,Medium,0.4999999437061118,High Vulnerability,0.72,0.88,0.12,Already Failed,-7000000.0,1.0795454545454546,-17948184.743530035,1.247872857878662,Critical,5,0.8593333333333334,0.3949554339103519,1.0394955433910351,0.8932731702873629,Flood=Medium; Vulnerability=High Vulnerability; FailShare=88%; Median C/R=1.08; HistFloodExp=0.39,Prepare buffer stock and route contingency for bulk distribution.
Indramayu,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-3855743.283631993,2.433449128343532,Critical,5,0.8833333333333333,0.0559353146853146,1.0055935314685314,0.888274286130536,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Tasikmalaya,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-13817541.639344268,1.4906262212286805,Critical,5,0.8833333333333333,0.0065573770491803,1.0006557377049181,0.883912568306011,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30; HistFloodExp=0.01,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Tasikmalaya,Retail,Medium,0.4999999437061118,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-3962407.950819673,2.320802650273224,Critical,5,0.8833333333333333,0.0065573770491803,1.0006557377049181,0.883912568306011,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=0.01,"Prepare buffer stock, backup suppliers, and consumer price monitoring."
Tasikmalaya,Rice Miller,High,0.5499976285304322,Medium Vulnerability,0.2758620689655172,0.9310344827586208,0.0689655172413793,Critical Under High Stress,2160000.0,0.929340335124856,-7294197.493418165,1.2083252567118457,Critical,5,0.8362068965517241,0.0065573770491803,1.0006557377049181,0.8367552289429057,Flood=High; Vulnerability=Medium Vulnerability; FailShare=93%; Median C/R=0.93; HistFloodExp=0.01,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Karawang,Middlemen,Medium,0.4999999437061118,Medium Vulnerability,0.5,1.0,0.0,Fails Under Scenario,-1525000.0,1.017790404040404,-9391250.0,1.1857258207070709,Critical,5,0.7333333333333334,1.0,1.1,0.8066666666666668,Flood=Medium; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02; HistFloodExp=1.00,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows."
Indramayu,Rice Miller,High,0.5499976285304322,Low Vulnerability,0.1176470588235294,0.8823529411764706,0.1176470588235294,Critical Under High Stress,21382891.73789168,0.8935617324505689,-47459233.00501597,1.163129701886601,Critical,5,0.6764705882352942,0.0559353146853146,1.0055935314685314,0.6802544477581242,Flood=High; Vulnerability=Low Vulnerability; FailShare=88%; Median C/R=0.89; HistFloodExp=0.06,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Garut,Rice Miller,High,0.5499976285304322,Low Vulnerability,0.4166666666666667,0.6666666666666666,0.3333333333333333,Already Failed,10700692.78252611,0.8343007229654195,-5552166.390894102,1.094476287976561,Critical,5,0.6333333333333333,0.3949554339103519,1.0394955433910351,0.6583471774809889,Flood=High; Vulnerability=Low Vulnerability; FailShare=67%; Median C/R=0.83; HistFloodExp=0.39,"Secure milling capacity, backup machine schedule, and protect grain-to-rice processing continuity."
Indramayu,Wholesaler,High,0.5499976285304322,Low Vulnerability,0.0,0.6875,0.3125,Critical Under High Stress,275500000.0,0.8271464646464646,-34126040.77797204,1.0766784049741296,Critical,5,0.6375,0.0559353146853146,1.0055935314685314,0.6410658763111887,Flood=High; Vulnerability=Low Vulnerability; FailShare=69%; Median C/R=0.83; HistFloodExp=0.06,Prepare buffer stock and route contingency for bulk distribution.
Karawang,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-3403850.0,2.1346166666666666,High,4,0.7666666666666666,1.0,1.1,0.8433333333333334,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.
Subang,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.4285714285714285,0.5714285714285714,0.4285714285714285,Already Failed,14840000.0,0.9223993288590604,-7844958.611071303,1.065797557606388,High,4,0.7976190476190477,0.3641466525278,1.03641466525278,0.8266640782373365,Flood=Medium; Vulnerability=High Vulnerability; FailShare=57%; Median C/R=0.92; HistFloodExp=0.36,Prepare contingency plan because many units fail under stress scenario.
Indramayu,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.5625,0.625,0.375,Already Failed,-6617415.258776158,1.0874807510466988,-23188016.813184373,1.2515152923740638,High,4,0.8083333333333333,0.0559353146853146,1.0055935314685314,0.8128547712703962,Flood=Medium; Vulnerability=High Vulnerability; FailShare=62%; Median C/R=1.09; HistFloodExp=0.06,Prepare contingency plan because many units fail under stress scenario.
Garut,Middlemen,Low,0.4500022590135356,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-9591092.53351,1.4283441802207433,High,4,0.7666666666666666,0.3949554339103519,1.0394955433910351,0.7969465832664602,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,Prepare contingency plan because many units fail under stress scenario.
Karawang,Rice Miller,Low,0.4500022590135356,High Vulnerability,0.7142857142857143,0.7857142857142857,0.2142857142857142,Already Failed,-5688835.470085483,1.0644027757500236,-9782477.959401712,1.122944928416275,High,4,0.7238095238095238,1.0,1.1,0.7961904761904762,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.06; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.
Karawang,Wholesaler,Low,0.4500022590135356,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-12835750.0,1.0740199097938143,High,4,0.7238095238095238,1.0,1.1,0.7961904761904762,Flood=Low; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.
Subang,Retail,Low,0.4500022590135356,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-2785014.0329445144,1.8231559376552409,High,4,0.7666666666666666,0.3641466525278,1.03641466525278,0.7945845766937979,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,Prepare contingency plan because many units fail under stress scenario.
Garut,Retail,Low,0.4500022590135356,High Vulnerability,0.9130434782608696,0.9565217391304348,0.0434782608695652,Already Failed,-2600000.0,1.7428571428571429,-2917046.1407342656,1.8334417544955044,High,4,0.7579710144927536,0.3949554339103519,1.0394955433910351,0.7879074915847991,Flood=Low; Vulnerability=High Vulnerability; FailShare=96%; Median C/R=1.74; HistFloodExp=0.39,Prepare contingency plan because many units fail under stress scenario.
Indramayu,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-3297420.694886363,2.2208163761145103,High,4,0.7666666666666666,0.0559353146853146,1.0055935314685314,0.7709550407925406,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,Prepare contingency plan because many units fail under stress scenario.
Tasikmalaya,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-3356635.9836065574,2.118878661202186,High,4,0.7666666666666666,0.0065573770491803,1.0006557377049181,0.7671693989071038,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=0.01,Prepare contingency plan because many units fail under stress scenario.
Tasikmalaya,Middlemen,Low,0.4500022590135356,High Vulnerability,0.7931034482758621,0.9655172413793104,0.0344827586206896,Already Failed,-7685346.798251651,1.2960858585858586,-9881275.518431522,1.360932646133466,High,4,0.7597701149425288,0.0065573770491803,1.0006557377049181,0.7602683248539666,Flood=Low; Vulnerability=High Vulnerability; FailShare=97%; Median C/R=1.30; HistFloodExp=0.01,Prepare contingency plan because many units fail under stress scenario.
Garut,Wholesaler,Low,0.4500022590135356,High Vulnerability,0.72,0.76,0.24,Already Failed,-7000000.0,1.0795454545454546,-11937603.831107425,1.135654588989857,High,4,0.7186666666666667,0.3949554339103519,1.0394955433910351,0.7470507971836906,Flood=Low; Vulnerability=High Vulnerability; FailShare=76%; Median C/R=1.08; HistFloodExp=0.39,Prepare contingency plan because many units fail under stress scenario.
Indramayu,Middlemen,Low,0.4500022590135356,High Vulnerability,0.5625,0.5625,0.4375,Already Failed,-6617415.258776158,1.0874807510466988,-10821671.853893325,1.1421589314891536,High,4,0.6791666666666667,0.0559353146853146,1.0055935314685314,0.6829656067890443,Flood=Low; Vulnerability=High Vulnerability; FailShare=56%; Median C/R=1.09; HistFloodExp=0.06,Prepare contingency plan because many units fail under stress scenario.
Tasikmalaya,Rice Miller,Medium,0.4999999437061118,Medium Vulnerability,0.2758620689655172,0.6896551724137931,0.3103448275862069,Fails Under Scenario,2160000.0,0.929340335124856,-2880622.35260871,1.068832795918351,High,4,0.671264367816092,0.0065573770491803,1.0006557377049181,0.671704541172037,Flood=Medium; Vulnerability=Medium Vulnerability; FailShare=69%; Median C/R=0.93; HistFloodExp=0.01,Prepare contingency plan because many units fail under stress scenario.
Karawang,Middlemen,Low,0.4500022590135356,Medium Vulnerability,0.5,0.7142857142857143,0.2857142857142857,Already Failed,-1525000.0,1.017790404040404,-2640125.0,1.0737688762626263,High,4,0.5595238095238095,1.0,1.1,0.6154761904761905,Flood=Low; Vulnerability=Medium Vulnerability; FailShare=71%; Median C/R=1.02; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.
Indramayu,Rice Miller,Medium,0.4999999437061118,Low Vulnerability,0.1176470588235294,0.5294117647058824,0.4705882352941176,Fails Under Scenario,21382891.73789168,0.8935617324505689,-5379278.359250844,1.028345717168585,High,4,0.4892156862745098,0.0559353146853146,1.0055935314685314,0.49195212961058543,Flood=Medium; Vulnerability=Low Vulnerability; FailShare=53%; Median C/R=0.89; HistFloodExp=0.06,Prepare contingency plan because many units fail under stress scenario.
