mode,model,fold,test_accuracy,test_balanced_accuracy,test_f1_macro,test_f1_weighted,train_f1_macro,is_optional_booster
operational_prediction,Dummy Most Frequent,1,0.5677966101694916,0.3333333333333333,0.24144144144144145,0.4112688960146587,0.24258760107816713,False
operational_prediction,Dummy Most Frequent,2,0.5677966101694916,0.3333333333333333,0.24144144144144145,0.4112688960146587,0.24258760107816713,False
operational_prediction,Dummy Most Frequent,3,0.5677966101694916,0.3333333333333333,0.24144144144144145,0.4112688960146587,0.24258760107816713,False
operational_prediction,Dummy Most Frequent,4,0.576271186440678,0.3333333333333333,0.24372759856630824,0.42135957718243117,0.24201529464687357,False
operational_prediction,Dummy Most Frequent,5,0.576271186440678,0.3333333333333333,0.24372759856630824,0.42135957718243117,0.24201529464687357,False
operational_prediction,Logistic Regression,1,0.559322033898305,0.4902076917002291,0.49252913349486555,0.6253784078708837,0.5358797743164071,False
operational_prediction,Logistic Regression,2,0.5423728813559322,0.5044412085911903,0.4685981810506927,0.543994885140044,0.5772571039361866,False
operational_prediction,Logistic Regression,3,0.6016949152542372,0.5675888848440723,0.5378787878787878,0.6660374935798665,0.5194600344814937,False
operational_prediction,Logistic Regression,4,0.5677966101694916,0.5441309315053935,0.513859649122807,0.636757359500446,0.5487762889718629,False
operational_prediction,Logistic Regression,5,0.6694915254237288,0.6672246134226048,0.5929411764705882,0.7174818401937046,0.5742264003133569,False
operational_prediction,Decision Tree,1,1.0,1.0,1.0,1.0,0.9946516276791506,False
operational_prediction,Decision Tree,2,0.9830508474576272,0.983739837398374,0.9613636363636364,0.9836093990755007,1.0,False
operational_prediction,Decision Tree,3,0.9915254237288136,0.9666666666666667,0.978440076093849,0.9913534602280666,0.9945423843296184,False
operational_prediction,Decision Tree,4,0.9915254237288136,0.9950980392156863,0.9799870045484079,0.9917170515743219,0.9946578244450585,False
operational_prediction,Decision Tree,5,1.0,1.0,1.0,1.0,0.9946578244450585,False
operational_prediction,Random Forest,1,1.0,1.0,1.0,1.0,1.0,False
operational_prediction,Random Forest,2,0.9915254237288136,0.991869918699187,0.9800117577895356,0.9916748871551131,1.0,False
operational_prediction,Random Forest,3,1.0,1.0,1.0,1.0,1.0,False
operational_prediction,Random Forest,4,1.0,1.0,1.0,1.0,0.9946578244450585,False
operational_prediction,Random Forest,5,1.0,1.0,1.0,1.0,0.9946578244450585,False
operational_prediction,Extra Trees,1,0.9661016949152542,0.915975677169707,0.9144855603059937,0.9660559674360376,0.9497649517250243,False
operational_prediction,Extra Trees,2,0.9067796610169492,0.8727824293168306,0.8339440203562342,0.9130741363695175,0.9570519993591519,False
operational_prediction,Extra Trees,3,0.9322033898305084,0.8908627593738624,0.8602730454829056,0.9369529810365863,0.9516570586222327,False
operational_prediction,Extra Trees,4,0.9491525423728814,0.9576757532281205,0.9030348073826334,0.9527949410779182,0.9566638839682637,False
operational_prediction,Extra Trees,5,0.8813559322033898,0.8477336734151656,0.786146873910587,0.897095924171659,0.9437775370815035,False
operational_prediction,Hist Gradient Boosting,1,1.0,1.0,1.0,1.0,1.0,False
operational_prediction,Hist Gradient Boosting,2,0.9830508474576272,0.983739837398374,0.9613636363636364,0.9836093990755007,1.0,False
operational_prediction,Hist Gradient Boosting,3,0.9745762711864406,0.9504065040650406,0.9400352733686067,0.9750246614653394,1.0,False
operational_prediction,Hist Gradient Boosting,4,1.0,1.0,1.0,1.0,1.0,False
operational_prediction,Hist Gradient Boosting,5,1.0,1.0,1.0,1.0,1.0,False
operational_prediction,XGBoost,1,1.0,1.0,1.0,1.0,1.0,True
operational_prediction,XGBoost,2,0.9830508474576272,0.983739837398374,0.9613636363636364,0.9836093990755007,1.0,True
operational_prediction,XGBoost,3,0.9830508474576272,0.9333333333333332,0.955026455026455,0.9823110034974442,1.0,True
operational_prediction,XGBoost,4,0.9915254237288136,0.9629629629629629,0.9779590668384142,0.9913071005960221,1.0,True
operational_prediction,XGBoost,5,1.0,1.0,1.0,1.0,1.0,True
operational_prediction,LightGBM,1,1.0,1.0,1.0,1.0,1.0,True
operational_prediction,LightGBM,2,0.9830508474576272,0.983739837398374,0.9613636363636364,0.9836093990755007,1.0,True
operational_prediction,LightGBM,3,0.9915254237288136,0.9666666666666667,0.978440076093849,0.9913534602280666,1.0,True
operational_prediction,LightGBM,4,0.9915254237288136,0.9629629629629629,0.9779590668384142,0.9913071005960221,1.0,True
operational_prediction,LightGBM,5,1.0,1.0,1.0,1.0,1.0,True
operational_prediction,CatBoost,1,1.0,1.0,1.0,1.0,1.0,True
operational_prediction,CatBoost,2,0.9830508474576272,0.983739837398374,0.9613636363636364,0.9836093990755007,1.0,True
operational_prediction,CatBoost,3,0.9915254237288136,0.9666666666666667,0.978440076093849,0.9913534602280666,1.0,True
operational_prediction,CatBoost,4,0.9915254237288136,0.9629629629629629,0.9779590668384142,0.9913071005960221,0.9949371263656978,True
operational_prediction,CatBoost,5,1.0,1.0,1.0,1.0,1.0,True
