model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.9954760206495664,0.0009357627226795088,0.995440903871761,0.0010142521052148,0.9954714621884673,0.0009393954023569786,0.9999473844189385,1.0864245709378946e-05
Decision Tree,0.9924507072582869,0.0007922602531138653,0.9924027839269112,0.0008161902511813592,0.9924434631604672,0.0007961337059800273,0.9988063199713317,0.00014914870325814203
Random Forest,0.9914505124577734,0.0011140638268921027,0.9914371761960723,0.001158286410444271,0.991442905878449,0.0011177311398734395,0.9997872190565006,3.81264323095565e-05
Dummy Most Frequent,0.48605346805898275,0.003476576260641986,0.5,0.0,0.3270730177353161,0.0015750414672770345,0.5,0.0
