vulnerability_label,n,mean_score,median_rc,median_cost_revenue_ratio,negative_margin_share,hard_rule_share,cluster_agreement_share
Low Vulnerability,450,0.24941009817439092,2.023202383937489,0.4942662441995034,0.0,0.0,94.44444444444444
Medium Vulnerability,63,0.4824045214803754,1.0601445333704176,0.9432676097671271,0.0,0.0,34.92063492063492
High Vulnerability,274,0.7753708372062456,0.6940609981697363,1.4407955555555554,98.54014598540147,98.54014598540147,52.18978102189781
