flood_scenario,region,region_key,actor,n_units,fail_share,survive_share,median_stressed_margin,median_stressed_cost_revenue_ratio,median_combined_buffer,dominant_stress_risk_label,dominant_predicted_vulnerability_label,median_historical_flood_exposure_score,median_effective_cost_shock_pct,stress_priority_signal
Low,Indramayu,INDRAMAYU,Retail,16,1.0,0.0,-3297420.694886363,2.2208163761145103,-1.1145,Already Failed,High Vulnerability,0.0559353146853146,0.05027967657342657,Severe
Low,Indramayu,INDRAMAYU,Rice Miller,17,0.35294117647058826,0.6470588235294118,11673046.63820988,0.9384897273565743,0.10643826754943103,Borderline,Low Vulnerability,0.0559353146853146,0.05027967657342657,Watch
Low,Indramayu,INDRAMAYU,Wholesaler,16,0.0625,0.9375,206390584.5498252,0.8687351213677421,0.17285353535353537,Survives Scenario,Low Vulnerability,0.0559353146853146,0.05027967657342657,Manageable
Low,Karawang,KARAWANG,Farmer,53,0.09433962264150944,0.9056603773584906,42320550.0,0.5088823529411765,0.5176470588235295,Survives Scenario,Low Vulnerability,1.0,0.05500000000000001,Manageable
Low,Karawang,KARAWANG,Middlemen,14,0.7142857142857143,0.2857142857142857,-2640125.0,1.0737688762626263,-0.017790404040404044,Already Failed,Medium Vulnerability,1.0,0.05500000000000001,High
Low,Karawang,KARAWANG,Retail,16,1.0,0.0,-3403850.0,2.1346166666666666,-1.0233333333333334,Already Failed,High Vulnerability,1.0,0.05500000000000001,Severe
Low,Karawang,KARAWANG,Rice Miller,14,0.7857142857142857,0.21428571428571427,-9782477.959401712,1.122944928416275,-0.06440277575002354,Already Failed,High Vulnerability,1.0,0.05500000000000001,Severe
Low,Karawang,KARAWANG,Wholesaler,14,0.7857142857142857,0.21428571428571427,-12835750.0,1.0740199097938143,-0.01802835051546392,Already Failed,High Vulnerability,1.0,0.05500000000000001,Severe
Low,Subang,SUBANG,Farmer,77,0.09090909090909091,0.9090909090909091,12288949.357166395,0.5349411507047866,0.4914141414141414,Survives Scenario,Low Vulnerability,0.3641466525278,0.051820733262639,Manageable
Low,Subang,SUBANG,Middlemen,21,0.47619047619047616,0.5238095238095238,7104620.755545676,0.9701987384415031,0.0776006711409396,Already Failed,High Vulnerability,0.3641466525278,0.051820733262639,Watch
Low,Subang,SUBANG,Retail,19,1.0,0.0,-2785014.0329445144,1.8231559376552409,-0.7333333333333333,Already Failed,High Vulnerability,0.3641466525278,0.051820733262639,Severe
