flood_scenario,Low,Moderate,High,Critical
Low,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0
Medium,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.2916666666666667
High,0.0,0.2916666666666667,0.16666666666666666,0.5416666666666666
