region,actor,flood_scenario,flood_probability_reference,vulnerability_label,predicted_high_vulnerability_share,fail_share,survive_share,dominant_stress_risk_label,median_margin,median_cost_revenue_ratio,median_stressed_margin,median_stressed_cost_revenue_ratio,priority_label,priority_rank,base_priority_sort_score,regional_exposure_priority_modifier,priority_sort_score,priority_reason,recommended_action,region_key,vulnerability_rank,flood_rank,lhs_mean_failure_probability,lhs_median_failure_probability,lhs_p75_failure_probability,lhs_expected_stressed_margin,lhs_p05_stressed_margin,lhs_p50_stressed_margin,lhs_p95_stressed_margin,dominant_lhs_risk_label,historical_flood_exposure_score,historical_flood_exposure_level,lhs_component_vulnerability,lhs_component_flood,lhs_component_failure_probability,lhs_component_historical_exposure,lhs_component_actor_role,lhs_enhanced_priority_score,lhs_enhanced_priority_label
Indramayu,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3051000.0,2.1145,-4703986.567263987,2.752398256687063,Critical,5,1.0,1.0055935314685314,1.0055935314685314,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.11; HistFloodExp=0.06,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",INDRAMAYU,3.0,3.0,1.0,1.0,1.0,-5150946.617260152,-5809167.830495372,-5213073.785673164,-4565019.048099455,Critical,0.0559353146853146,Low,0.35,0.25,0.25,0.00559353146853146,0.05,0.9055935314685315,Critical
Tasikmalaya,Retail,High,0.5499976285304322,High Vulnerability,1.0,1.0,0.0,Already Failed,-3053750.0,2.017916666666667,-4871065.901639344,2.623688633879781,Critical,5,1.0,1.000655737704918,1.000655737704918,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=0.01,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",TASIKMALAYA,3.0,3.0,1.0,1.0,1.0,-5271067.648962705,-5972071.39276771,-5374457.786658181,-4722274.235714462,Critical,0.0065573770491803,Low,0.35,0.25,0.25,0.0006557377049180301,0.05,0.900655737704918,Critical
Tasikmalaya,Middlemen,High,0.5499976285304322,High Vulnerability,0.7931034482758621,1.0,0.0,Already Failed,-7685346.798251651,1.2960858585858586,-20914459.01639344,1.6851665838715018,Critical,5,1.0,1.000655737704918,1.000655737704918,Flood=High; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.30; HistFloodExp=0.01,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",TASIKMALAYA,3.0,3.0,1.0,1.0,1.0,-32249559.042647567,-31026291.56050583,-26919532.219563898,-21236063.337251343,Critical,0.0065573770491803,Low,0.35,0.25,0.25,0.0006557377049180301,0.045000000000000005,0.895655737704918,Critical
Indramayu,Middlemen,High,0.5499976285304322,High Vulnerability,0.5625,0.8125,0.1875,Already Failed,-6617415.258776158,1.0874807510466988,-37761290.8675926,1.4155498337014292,Critical,5,0.9625,1.0055935314685314,0.9678837740384616,Flood=High; Vulnerability=High Vulnerability; FailShare=81%; Median C/R=1.09; HistFloodExp=0.06,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",INDRAMAYU,3.0,3.0,0.9496875,1.0,1.0,-59806585.23032403,-63223333.142332055,-52235433.97033057,-40951593.790127255,Critical,0.0559353146853146,Low,0.35,0.25,0.237421875,0.00559353146853146,0.045000000000000005,0.8880154064685315,Critical
Karawang,Middlemen,High,0.5499976285304322,Medium Vulnerability,0.5,1.0,0.0,Critical Under High Stress,-1525000.0,1.017790404040404,-23021750.0,1.3536612373737371,Critical,5,0.8499999999999999,1.1,0.935,Flood=High; Vulnerability=Medium Vulnerability; FailShare=100%; Median C/R=1.02; HistFloodExp=1.00,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",KARAWANG,2.0,3.0,1.0,1.0,1.0,-40742482.260345735,-44683216.53500764,-35947972.55852006,-27208341.383297823,Critical,1.0,High,0.2333333333333333,0.25,0.25,0.1,0.045000000000000005,0.8783333333333333,Critical
Garut,Retail,Medium,0.4999999437061118,High Vulnerability,0.9130434782608696,1.0,0.0,Already Failed,-2600000.0,1.7428571428571429,-3551138.4222027976,2.014610977772228,Critical,5,0.8833333333333333,1.0394955433910351,0.9182210633287476,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.74; HistFloodExp=0.39,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",GARUT,3.0,2.0,1.0,1.0,1.0,-3182543.226548298,-4091234.9811540735,-3837556.675257148,-3521902.5175001,Critical,0.3949554339103519,Medium,0.35,0.16666666666666666,0.25,0.0394955433910352,0.05,0.8561622100577019,Critical
Karawang,Wholesaler,Medium,0.4999999437061118,High Vulnerability,0.5714285714285714,0.7857142857142857,0.2142857142857142,Already Failed,-3500000.0,1.018028350515464,-34339750.0,1.1860030283505156,Critical,5,0.8404761904761905,1.1,0.9245238095238096,Flood=Medium; Vulnerability=High Vulnerability; FailShare=79%; Median C/R=1.02; HistFloodExp=1.00,Prepare buffer stock and route contingency for bulk distribution.,KARAWANG,3.0,2.0,0.7857142857142857,1.0,1.0,-2788720.486542923,-64615829.31633104,-51582793.98829846,-40064332.10405481,Critical,1.0,High,0.35,0.16666666666666666,0.19642857142857142,0.1,0.04000000000000001,0.853095238095238,Critical
Subang,Retail,Medium,0.4999999437061118,High Vulnerability,0.9473684210526316,1.0,0.0,Already Failed,-2495000.0,1.7333333333333334,-3355042.0988335423,2.002801146299056,Critical,5,0.8833333333333333,1.03641466525278,0.9154996209732889,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.73; HistFloodExp=0.36,"Prepare buffer stock, backup suppliers, and consumer price monitoring.",SUBANG,3.0,2.0,1.0,1.0,1.0,-2968312.7731125937,-3884798.507908878,-3598286.211984509,-3318174.498802355,Critical,0.3641466525278,Medium,0.35,0.16666666666666666,0.25,0.03641466525278,0.05,0.8530813319194467,Critical
Garut,Middlemen,Medium,0.4999999437061118,High Vulnerability,0.9166666666666666,1.0,0.0,Already Failed,-6500000.0,1.3577741702741704,-15440508.962716289,1.5694842001138896,Critical,5,0.8833333333333333,1.0394955433910351,0.9182210633287476,Flood=Medium; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=1.36; HistFloodExp=0.39,"Monitor distribution bottleneck, prepare alternative storage, and coordinate pickup/delivery windows.",GARUT,3.0,2.0,1.0,1.0,1.0,-18098617.674146384,-23879988.38015601,-19546958.775414437,-16514383.77395735,Critical,0.3949554339103519,Medium,0.35,0.16666666666666666,0.25,0.0394955433910352,0.045000000000000005,0.8511622100577019,Critical
Karawang,Retail,Low,0.4500022590135356,High Vulnerability,1.0,1.0,0.0,Already Failed,-3070000.0,2.023333333333333,-3403850.0,2.1346166666666666,High,4,0.7666666666666666,1.1,0.8433333333333334,Flood=Low; Vulnerability=High Vulnerability; FailShare=100%; Median C/R=2.02; HistFloodExp=1.00,Prepare contingency plan because many units fail under stress scenario.,KARAWANG,3.0,1.0,1.0,1.0,1.0,-3343173.1272636023,-3636761.75790181,-3505309.778681729,-3367176.522435496,Critical,1.0,High,0.35,0.08333333333333333,0.25,0.1,0.05,0.8333333333333334,Critical
