actor,Karawang,Garut,Subang,Indramayu,Tasikmalaya
Retail,0.9999999999999999,0.9394955433910351,0.9364146652527799,0.9055935314685314,0.9006557377049179
Middlemen,0.86,0.9394955433910351,0.9127638716019862,0.8935622814685314,0.9006557377049179
Wholesaler,0.9662499999999999,0.9204622100577019,0.5191130779511927,0.5638747814685315,
Rice Miller,0.9999999999999999,0.6463705433910353,0.6413749827130976,0.6164268648018648,0.7601097606934237
Farmer,0.532311320754717,0.4989513257039604,0.47778912412723884,0.4611042841567035,0.419655737704918
