actor,Karawang,Garut,Subang,Indramayu,Tasikmalaya
Retail,1.0,1.0,1.0,1.0,1.0
Middlemen,1.0,1.0,0.9053968253968253,0.951875,1.0
Rice Miller,1.0,0.9474999999999999,0.9398412698412699,0.9633333333333333,0.997816091954023
Wholesaler,0.865,0.9238666666666667,0.4507936507936508,0.753125,
Farmer,0.24924528301886795,0.3578231292517006,0.28549783549783553,0.34204301075268817,0.19599999999999998
